"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","225",""
"2006","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","363",""
"2007","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","485",""
"2008","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","631",""
"2009","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","987",""
"2010","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","1,281",""
"2011","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","2,298",""
"2012","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","2,729",""
"2013","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","3,666",""
"2014","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","4,586",""
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","5",""
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","20",""
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","47",""
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","122",""
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","237",""
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","681",""
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","861",""
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Wind","1,221",""
