Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Romania,ROM,21.8148269735202,24.6082405251581,27.6875059899952,30.0224355685019,30.2860374414839,26.8610771118466,18.7610853749871,21.5708720426031,22.9918108151044,22.164301887136,18.5624691612104,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Slovenia,SVN,51.6970632845625,53.0892401287649,51.9070453120443,52.9971631269586,52.6728212889738,52.5426782309585,48.0175725577242,48.7480756334997,47.8079564020716,49.373885018542,47.9269139213081,43.9948865025901,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Slovak Republic,SVK,64.3448935317851,64.047674738865,64.8992720438165,64.4896084855228,66.5283775712562,64.9560240558742,64.5255584287033,65.1845280149586,63.0152906591217,61.2914832251893,61.2663201813277,57.6376952509035,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Spain,ESP,74.1001686455087,73.2230728088293,78.7510430130769,77.9008344512483,78.9400313559583,78.1769195265934,76.2369193504333,73.049632738388,74.5570829863406,73.3105681778815,70.4476902592835,69.9592168856573,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Sweden,SWE,35.8208060124411,32.9084931259181,32.760965955636,34.6109333353517,32.9125455621917,32.9994453771043,33.1674268843326,34.9959359587645,33.1893849090525,27.8671405373543,28.7923253609111,29.2655015392557,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,United Kingdom,GBR,-22.2118131798278,-17.2419259466548,7.86413266477067,14.7079997949006,16.553628145582,19.7846150422897,19.0691777580986,26.702543677024,30.9351531078794,39.1350671534801,42.349706463634,39.5986015056282,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,
