"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","1",""
"2006","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2",""
"2007","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","6",""
"2008","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","34",""
"2009","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","158",""
"2010","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","556",""
"2011","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","1,165",""
"2012","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2,144",""
"2013","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2,640",""
"2014","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2,879",""
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2013","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2014","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2005","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2006","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2007","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2008","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2009","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2010","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2011","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2012","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2013","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2014","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","0",""
"2005","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2",""
"2006","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2",""
"2007","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","2",""
"2008","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","3",""
"2009","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","4",""
"2010","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","6",""
"2011","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","15",""
"2012","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","104",""
"2013","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Solar Photovoltaic","518",""
