TIME,GEO,INTRT,Value
2009,Estonia,EMU convergence criterion bond yields,
2010,Estonia,EMU convergence criterion bond yields,
2011,Estonia,EMU convergence criterion bond yields,
2012,Estonia,EMU convergence criterion bond yields,
2013,Estonia,EMU convergence criterion bond yields,
2014,Estonia,EMU convergence criterion bond yields,
2015,Estonia,EMU convergence criterion bond yields,
2000,Finland,EMU convergence criterion bond yields,5.483333333
2001,Finland,EMU convergence criterion bond yields,5.043333333
2002,Finland,EMU convergence criterion bond yields,4.980833333
2007,Finland,EMU convergence criterion bond yields,4.293333333
2008,Finland,EMU convergence criterion bond yields,4.29
2003,Finland,EMU convergence criterion bond yields,4.134166667
2004,Finland,EMU convergence criterion bond yields,4.11
2006,Finland,EMU convergence criterion bond yields,3.783333333
2009,Finland,EMU convergence criterion bond yields,3.738333333
2005,Finland,EMU convergence criterion bond yields,3.351666667
2010,Finland,EMU convergence criterion bond yields,3.010833333
2011,Finland,EMU convergence criterion bond yields,3.005833333
2012,Finland,EMU convergence criterion bond yields,1.885833333
2013,Finland,EMU convergence criterion bond yields,1.861666667
2014,Finland,EMU convergence criterion bond yields,1.449166667
2015,Finland,EMU convergence criterion bond yields,0.72
2000,France,EMU convergence criterion bond yields,5.394166667
2001,France,EMU convergence criterion bond yields,4.939166667
2002,France,EMU convergence criterion bond yields,4.86
2007,France,EMU convergence criterion bond yields,4.304166667
2008,France,EMU convergence criterion bond yields,4.234166667
2003,France,EMU convergence criterion bond yields,4.13
2004,France,EMU convergence criterion bond yields,4.098333333
2006,France,EMU convergence criterion bond yields,3.796666667
2009,France,EMU convergence criterion bond yields,3.65
2005,France,EMU convergence criterion bond yields,3.41
2011,France,EMU convergence criterion bond yields,3.32
2010,France,EMU convergence criterion bond yields,3.118333333
2012,France,EMU convergence criterion bond yields,2.536666667
2013,France,EMU convergence criterion bond yields,2.204166667
2014,France,EMU convergence criterion bond yields,1.666666667
2015,France,EMU convergence criterion bond yields,0.8425
2000,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,5.263333333
2001,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.7975
2002,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.7825
2007,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.216666667
2003,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.070833333
2004,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,4.036666667
2008,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.984166667
2006,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.7625
2005,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.353333333
2009,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,3.2225
2010,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,2.743333333
2011,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,2.608333333
2013,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.57
2012,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.495
2014,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,1.163333333
2015,Germany (until 1990 former territory of the FRG),EMU convergence criterion bond yields,0.495833333
2012,Greece,EMU convergence criterion bond yields,22.49833333
2011,Greece,EMU convergence criterion bond yields,15.74916667
2013,Greece,EMU convergence criterion bond yields,10.05416667
2015,Greece,EMU convergence criterion bond yields,9.666363636
2010,Greece,EMU convergence criterion bond yields,9.091666667
2014,Greece,EMU convergence criterion bond yields,6.929166667
2000,Greece,EMU convergence criterion bond yields,6.1
2001,Greece,EMU convergence criterion bond yields,5.303333333
2009,Greece,EMU convergence criterion bond yields,5.174166667
2002,Greece,EMU convergence criterion bond yields,5.1225
2008,Greece,EMU convergence criterion bond yields,4.8025
2007,Greece,EMU convergence criterion bond yields,4.5
2003,Greece,EMU convergence criterion bond yields,4.2675
2004,Greece,EMU convergence criterion bond yields,4.255833333
2006,Greece,EMU convergence criterion bond yields,4.07
2005,Greece,EMU convergence criterion bond yields,3.585
2009,Hungary,EMU convergence criterion bond yields,9.123333333
2008,Hungary,EMU convergence criterion bond yields,8.238333333
2004,Hungary,EMU convergence criterion bond yields,8.189166667
2001,Hungary,EMU convergence criterion bond yields,7.945
2012,Hungary,EMU convergence criterion bond yields,7.890833333
2011,Hungary,EMU convergence criterion bond yields,7.635
2010,Hungary,EMU convergence criterion bond yields,7.281666667
2006,Hungary,EMU convergence criterion bond yields,7.115833333
2002,Hungary,EMU convergence criterion bond yields,7.085
2003,Hungary,EMU convergence criterion bond yields,6.823333333
2007,Hungary,EMU convergence criterion bond yields,6.744166667
2005,Hungary,EMU convergence criterion bond yields,6.599166667
2013,Hungary,EMU convergence criterion bond yields,5.923333333
2014,Hungary,EMU convergence criterion bond yields,4.809166667
2015,Hungary,EMU convergence criterion bond yields,3.4325
2000,Hungary,EMU convergence criterion bond yields,
2011,Ireland,EMU convergence criterion bond yields,9.601666667
2012,Ireland,EMU convergence criterion bond yields,6.171666667
2010,Ireland,EMU convergence criterion bond yields,5.739166667
2000,Ireland,EMU convergence criterion bond yields,5.5125
2009,Ireland,EMU convergence criterion bond yields,5.225
2001,Ireland,EMU convergence criterion bond yields,5.011666667
2002,Ireland,EMU convergence criterion bond yields,5.01
2008,Ireland,EMU convergence criterion bond yields,4.525833333
2007,Ireland,EMU convergence criterion bond yields,4.305833333
2003,Ireland,EMU convergence criterion bond yields,4.1325
2004,Ireland,EMU convergence criterion bond yields,4.076666667
2013,Ireland,EMU convergence criterion bond yields,3.79
2006,Ireland,EMU convergence criterion bond yields,3.765
2005,Ireland,EMU convergence criterion bond yields,3.329166667
2014,Ireland,EMU convergence criterion bond yields,2.3675
2015,Ireland,EMU convergence criterion bond yields,1.1825
2000,Italy,EMU convergence criterion bond yields,5.576666667
2012,Italy,EMU convergence criterion bond yields,5.4925
2011,Italy,EMU convergence criterion bond yields,5.424166667
2001,Italy,EMU convergence criterion bond yields,5.189166667
2002,Italy,EMU convergence criterion bond yields,5.035833333
2008,Italy,EMU convergence criterion bond yields,4.680833333
2007,Italy,EMU convergence criterion bond yields,4.486666667
2013,Italy,EMU convergence criterion bond yields,4.316666667
2009,Italy,EMU convergence criterion bond yields,4.313333333
2004,Italy,EMU convergence criterion bond yields,4.258333333
2003,Italy,EMU convergence criterion bond yields,4.248333333
2006,Italy,EMU convergence criterion bond yields,4.0475
2010,Italy,EMU convergence criterion bond yields,4.036666667
2005,Italy,EMU convergence criterion bond yields,3.555833333
2014,Italy,EMU convergence criterion bond yields,2.8925
2015,Italy,EMU convergence criterion bond yields,1.714166667
2009,Latvia,EMU convergence criterion bond yields,12.3575
2010,Latvia,EMU convergence criterion bond yields,10.3375
2001,Latvia,EMU convergence criterion bond yields,7.573333333
2008,Latvia,EMU convergence criterion bond yields,6.431666667
2011,Latvia,EMU convergence criterion bond yields,5.9075
2002,Latvia,EMU convergence criterion bond yields,5.408333333
2007,Latvia,EMU convergence criterion bond yields,5.2825
2003,Latvia,EMU convergence criterion bond yields,4.900833333
2004,Latvia,EMU convergence criterion bond yields,4.8575
2012,Latvia,EMU convergence criterion bond yields,4.565
2006,Latvia,EMU convergence criterion bond yields,4.133333333
2005,Latvia,EMU convergence criterion bond yields,3.875
2013,Latvia,EMU convergence criterion bond yields,3.34
2014,Latvia,EMU convergence criterion bond yields,2.508333333
2015,Latvia,EMU convergence criterion bond yields,0.963333333
2000,Latvia,EMU convergence criterion bond yields,
2009,Lithuania,EMU convergence criterion bond yields,14.00416667
2001,Lithuania,EMU convergence criterion bond yields,8.153333333
2002,Lithuania,EMU convergence criterion bond yields,6.0625
2008,Lithuania,EMU convergence criterion bond yields,5.6075
2010,Lithuania,EMU convergence criterion bond yields,5.566666667
2003,Lithuania,EMU convergence criterion bond yields,5.3225
2011,Lithuania,EMU convergence criterion bond yields,5.16
2012,Lithuania,EMU convergence criterion bond yields,4.830833333
2007,Lithuania,EMU convergence criterion bond yields,4.545833333
2004,Lithuania,EMU convergence criterion bond yields,4.5025
2006,Lithuania,EMU convergence criterion bond yields,4.080833333
2013,Lithuania,EMU convergence criterion bond yields,3.831666667
2005,Lithuania,EMU convergence criterion bond yields,3.699166667
2014,Lithuania,EMU convergence criterion bond yields,2.7925
2015,Lithuania,EMU convergence criterion bond yields,1.380833333
2000,Lithuania,EMU convergence criterion bond yields,
2000,Luxembourg,EMU convergence criterion bond yields,5.52
2001,Luxembourg,EMU convergence criterion bond yields,4.859166667
2002,Luxembourg,EMU convergence criterion bond yields,4.7025
2008,Luxembourg,EMU convergence criterion bond yields,4.6075
2007,Luxembourg,EMU convergence criterion bond yields,4.460833333
2009,Luxembourg,EMU convergence criterion bond yields,4.229166667
2003,Luxembourg,EMU convergence criterion bond yields,3.315833333
2006,Luxembourg,EMU convergence criterion bond yields,3.303333333
2010,Luxembourg,EMU convergence criterion bond yields,3.169166667
2011,Luxembourg,EMU convergence criterion bond yields,2.923333333
2004,Luxembourg,EMU convergence criterion bond yields,2.844166667
2005,Luxembourg,EMU convergence criterion bond yields,2.414166667
2013,Luxembourg,EMU convergence criterion bond yields,1.851666667
2012,Luxembourg,EMU convergence criterion bond yields,1.821666667
2014,Luxembourg,EMU convergence criterion bond yields,1.336666667
2015,Luxembourg,EMU convergence criterion bond yields,0.369166667
2001,Malta,EMU convergence criterion bond yields,6.188333333
2002,Malta,EMU convergence criterion bond yields,5.819166667
2003,Malta,EMU convergence criterion bond yields,5.041666667
2008,Malta,EMU convergence criterion bond yields,4.8075
2007,Malta,EMU convergence criterion bond yields,4.724166667
