"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","2",""
"2006","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","3",""
"2007","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","6",""
"2008","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","6",""
"2009","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","9",""
"2010","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","11",""
"2011","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","14",""
"2012","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","22",""
"2013","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","21",""
"2014","Belgium","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","28",""
"2005","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2006","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2007","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2008","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2009","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2010","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2011","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2012","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2013","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2014","Bulgaria","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2005","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2006","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2007","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2008","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
"2009","Czech Republic","Gigawatt-hour","Electrical energy","Gross electricity generation Autoproducer electricity only - Wind","0",""
